発時刻,着時刻,所要時間,路線,行先,料金
5:58,6:45,47分,普通,瑞浪,770
6:13,7:01,48分,普通,中津川,770
6:43,7:36,53分,快速,中津川,770
7:23,8:04,41分,快速,中津川,770
7:33,8:33,60分,普通,中津川,770
8:02,8:45,43分,快速,中津川,770
8:23,9:10,47分,普通,中津川,770
8:36,9:33,57分,普通,中津川,770
9:23,10:03,40分,快速,中津川,770
9:31,10:18,47分,普通,瑞浪,770
9:45,10:34,49分,区間快速,中津川,770
10:02,10:45,43分,区間快速,瑞浪,770
10:18,11:05,47分,区間快速,中津川,770
10:42,11:33,51分,区間快速,中津川,770
11:02,11:45,43分,区間快速,瑞浪,770
11:22,12:04,42分,区間快速,中津川,770
11:42,12:33,51分,区間快速,中津川,770
12:02,12:45,43分,区間快速,瑞浪,770
12:22,13:04,42分,区間快速,中津川,770
12:42,13:33,51分,区間快速,中津川,770
13:02,13:45,43分,区間快速,瑞浪,770
13:22,14:04,42分,区間快速,中津川,770
13:42,14:33,51分,区間快速,中津川,770
14:02,14:45,43分,区間快速,瑞浪,770
14:22,15:04,42分,区間快速,中津川,770
14:42,15:33,51分,区間快速,中津川,770
15:02,15:45,43分,区間快速,瑞浪,770
15:20,16:04,44分,区間快速,中津川,770
15:44,16:33,49分,区間快速,中津川,770
16:02,16:43,41分,快速,瑞浪,770
16:09,16:56,47分,普通,瑞浪,770
16:24,17:08,44分,快速,中津川,770
16:45,17:28,43分,快速,中津川,770
17:07,17:48,41分,快速,中津川,770
17:26,18:15,49分,快速,中津川,770
17:48,18:31,43分,快速,中津川,770
18:07,18:51,44分,快速,中津川,770
18:26,19:15,49分,快速,中津川,770
18:48,19:31,43分,快速,中津川,770
19:07,19:51,44分,快速,中津川,770
19:26,20:15,49分,快速,中津川,770
19:48,20:31,43分,快速,中津川,770
20:07,20:49,42分,快速,中津川,770
20:26,21:09,43分,快速,中津川,770
20:48,21:31,43分,快速,中津川,770
21:07,21:48,41分,快速,中津川,770
21:14,22:01,47分,普通,瑞浪,770
21:36,22:18,42分,快速,中津川,770
21:52,22:39,47分,普通,土岐市,770
22:07,22:49,42分,快速,中津川,770
22:17,23:04,47分,普通,瑞浪,770
22:37,23:18,41分,快速,中津川,770
22:56,23:43,47分,普通,土岐市,770
23:07,23:48,41分,快速,中津川,770
23:31,0:18,47分,普通,瑞浪,770
23:57,0:44,47分,普通,瑞浪,770
