発時刻,到着時刻,所要時間,路線,行先,料金
6:37,8:12,1:35,のぞみ268号,東京,10560
6:49,8:23,1:34,のぞみ210号,東京,10560
7:03,8:39,1:36,のぞみ212号,東京,10560
7:13,8:51,1:38,のぞみ66号,東京,10560
7:22,8:57,1:35,のぞみ68号,東京,10560
7:41,9:15,1:34,のぞみ70号,東京,10560
7:48,9:24,1:36,のぞみ214号,東京,10560
7:59,9:36,1:37,のぞみ72号,東京,10560
8:06,9:45,1:39,のぞみ216号,東京,10560
8:20,9:57,1:37,のぞみ74号,東京,10560
8:29,10:06,1:37,のぞみ218号,東京,10560
8:36,10:15,1:39,のぞみ202号,東京,10560
8:49,10:24,1:35,のぞみ76号,東京,10560
8:57,10:33,1:36,のぞみ222号,東京,10560
9:06,10:45,1:39,のぞみ78号,東京,10560
9:12,10:51,1:39,のぞみ308号,東京,10560
9:20,10:57,1:37,のぞみ2号,東京,10560
9:36,11:15,1:39,のぞみ80号,東京,10560
9:49,11:24,1:35,のぞみ82号,東京,10560
9:57,11:33,1:36,のぞみ4号,東京,10560
10:06,11:45,1:39,のぞみ226号,東京,10560
10:12,11:51,1:39,のぞみ320号,東京,10560
10:14,11:54,1:40,のぞみ84号,東京,10560
10:23,12:03,1:40,のぞみ86号,東京,10560
10:36,12:15,1:39,のぞみ6号,東京,10560
10:49,12:24,1:35,のぞみ88号,東京,10560
10:57,12:33,1:36,のぞみ8号,東京,10560
11:06,11:06,0:00,のぞみ228号,東京,10560
11:12,12:51,1:39,のぞみ332号,東京,10560
11:20,12:57,1:37,のぞみ10号,東京,10560
11:29,13:06,1:37,のぞみ120号,東京,10560
11:36,13:15,1:39,のぞみ12号,東京,10560
11:57,13:33,1:36,のぞみ14号,東京,10560
12:06,13:45,1:39,のぞみ230号,東京,10560
12:12,13:51,1:39,のぞみ348号,東京,10560
12:20,13:57,1:37,のぞみ90号,東京,10560
12:29,14:06,1:37,のぞみ354号,東京,10560
12:36,14:15,1:39,のぞみ16号,東京,10560
12:49,14:24,1:35,のぞみ358号,東京,10560
12:57,14:33,1:36,のぞみ18号,東京,10560
13:06,14:45,1:39,のぞみ232号,東京,10560
13:12,15:48,2:36,のぞみ364号,東京,10560
13:20,14:57,1:37,のぞみ92号,東京,10560
13:29,15:06,1:37,のぞみ136号,東京,10560
13:36,15:15,1:39,のぞみ20号,東京,10560
13:49,15:24,1:35,のぞみ374号,東京,10560
13:57,15:33,1:36,のぞみ22号,東京,10560
