発時刻,着時刻,所要時間,路線,行先,料金
6:00,7:34,1:34,のぞみ1号,博多行,11300
6:15,7:50,1:35,のぞみ3号,博多行,11300
6:24,7:58,1:34,のぞみ287号,新大阪行,11300
6:33,8:10,1:37,のぞみ5号,博多行,11300
6:42,8:16,1:34,のぞみ211号,新大阪行,11300
6:48,8:25,1:37,のぞみ7号,博多行,11300
6:51,8:28,1:37,のぞみ291号,新大阪行,11300
7:00,8:38,1:38,のぞみ107号,新大阪行,11300
7:09,8:45,1:36,のぞみ295号,新大阪行,11300
7:12,8:45,1:33,のぞみ9号,博多行,11300
7:18,8:54,1:36,のぞみ297号,新大阪行,11300
7:21,8:56,1:35,のぞみ215号,新大阪行,11300
7:30,9:09,1:39,のぞみ11号,博多行,11300
7:39,9:16,1:37,のぞみ111号,新大阪行,11300
7:48,9:25,1:37,のぞみ13号,博多行,11300
7:51,9:31,1:40,のぞみ303号,新大阪行,11300
7:54,9:33,1:39,のぞみ305号,新大阪行,11300
8:00,9:39,1:39,のぞみ61号,広島行,11300
8:09,9:45,1:36,のぞみ307号,新大阪行,11300
8:12,10:01,1:49,のぞみ15号,博多行,11300
8:18,9:54,1:36,のぞみ309号,新大阪行,11300
8:21,9:56,1:35,のぞみ219号,新大阪行,11300
8:24,10:04,1:40,のぞみ311号,新大阪行,11300
8:30,10:09,1:39,のぞみ17号,博多行,11300
8:39,10:16,1:37,のぞみ119号,新大阪行,11300
8:42,10:22,1:40,のぞみ313号,新大阪行,11300
8:48,10:25,1:37,のぞみ63号,広島行,11300
8:51,10:31,1:40,のぞみ315号,新大阪行,11300
8:54,10:33,1:39,のぞみ317号,新大阪行,11300
9:00,10:39,1:39,のぞみ125号,新大阪行,11300
9:09,11:01,1:52,のぞみ225号,新大阪行,11300
9:12,10:45,1:33,のぞみ19号,博多行,11300
9:18,10:54,1:36,のぞみ319号,新大阪行,11300
9:21,10:56,1:35,のぞみ227号,新大阪行,11300
9:24,11:04,1:40,のぞみ321号,新大阪行,11300
9:30,11:09,1:39,のぞみ21号,博多行,11300
9:39,11:16,1:37,のぞみ129号,新大阪行,11300
9:42,11:22,1:40,のぞみ323号,新大阪行,11300
9:48,11:25,1:37,のぞみ65号,広島行,11300
9:51,11:31,1:40,のぞみ325号,新大阪行,11300
