発時刻,着時刻,所要時間,路線,行先,料金
05:43,05:48,5,福岡地下鉄空港線,筑前前原行,260
05:59,06:04,5,福岡地下鉄空港線,姪浜行,260
06:11,06:16,5,福岡地下鉄空港線,姪浜行,260
06:18,06:23,5,福岡地下鉄空港線,筑前前原行,260
06:32,06:37,5,福岡地下鉄空港線,筑前前原行,260
06:46,06:51,5,福岡地下鉄空港線,西唐津行,260
07:02,07:07,5,福岡地下鉄空港線,筑前前原行,260
07:11,07:16,5,福岡地下鉄空港線,姪浜行,260
07:21,07:26,5,福岡地下鉄空港線,筑前前原行,260
07:32,07:37,5,福岡地下鉄空港線,姪浜行,260
07:38,07:43,5,福岡地下鉄空港線,姪浜行,260
07:45,07:50,5,福岡地下鉄空港線,筑前前原行,260
07:54,07:59,5,福岡地下鉄空港線,姪浜行,260
08:03,08:08,5,福岡地下鉄空港線,筑前前原行,260
08:10,08:15,5,福岡地下鉄空港線,姪浜行,260
08:17,08:22,5,福岡地下鉄空港線,西唐津行,260
08:25,08:30,5,福岡地下鉄空港線,筑前前原行,260
08:32,08:37,5,福岡地下鉄空港線,姪浜行,260
08:38,08:43,5,福岡地下鉄空港線,筑前前原行,260
08:47,08:52,5,福岡地下鉄空港線,姪浜行,260
08:55,09:00,5,福岡地下鉄空港線,姪浜行,260
09:01,09:06,5,福岡地下鉄空港線,筑前前原行,260
09:07,09:12,5,福岡地下鉄空港線,姪浜行,260
09:11,09:16,5,福岡地下鉄空港線,筑前前原行,260
09:21,09:26,5,福岡地下鉄空港線,西唐津行,260
09:29,09:34,5,福岡地下鉄空港線,筑前前原行,260
09:39,09:44,5,福岡地下鉄空港線,姪浜行,260
09:47,09:52,5,福岡地下鉄空港線,筑前前原行,260
09:52,09:57,5,福岡地下鉄空港線,姪浜行,260
10:00,10:05,5,福岡地下鉄空港線,筑前前原行,260
10:05,10:10,5,福岡地下鉄空港線,姪浜行,260
10:11,10:16,5,福岡地下鉄空港線,筑前前原行,260
10:21,10:26,5,福岡地下鉄空港線,西唐津行,260
10:32,10:37,5,福岡地下鉄空港線,筑前前原行,260
10:38,10:43,5,福岡地下鉄空港線,姪浜行,260
10:44,10:49,5,福岡地下鉄空港線,筑前前原行,260
10:52,10:57,5,福岡地下鉄空港線,姪浜行,260
11:00,11:05,5,福岡地下鉄空港線,筑前前原行,260
11:09,11:14,5,福岡地下鉄空港線,姪浜行,260
11:17,11:22,5,福岡地下鉄空港線,筑前前原行,260
11:24,11:29,5,福岡地下鉄空港線,筑前前原行,260
11:30,11:35,5,福岡地下鉄空港線,姪浜行,260
11:37,11:42,5,福岡地下鉄空港線,筑前前原行,260
11:45,11:50,5,福岡地下鉄空港線,姪浜行,260
11:52,11:57,5,福岡地下鉄空港線,筑前前原行,260
12:00,12:05,5,福岡地下鉄空港線,姪浜行,260
12:07,12:12,5,福岡地下鉄空港線,筑前前原行,260
12:15,12:20,5,福岡地下鉄空港線,姪浜行,260
12:22,12:27,5,福岡地下鉄空港線,筑前前原行,260
12:30,12:35,5,福岡地下鉄空港線,姪浜行,260
12:35,12:40,5,福岡地下鉄空港線,筑前前原行,260
12:45,12:50,5,福岡地下鉄空港線,姪浜行,260
12:52,12:57,5,福岡地下鉄空港線,筑前前原行,260
13:00,13:05,5,福岡地下鉄空港線,姪浜行,260
13:07,13:12,5,福岡地下鉄空港線,筑前前原行,260
13:15,13:20,5,福岡地下鉄空港線,姪浜行,260
13:23,13:28,5,福岡地下鉄空港線,筑前前原行,260
13:30,13:35,5,福岡地下鉄空港線,姪浜行,260
13:37,13:42,5,福岡地下鉄空港線,筑前前原行,260
13:45,13:50,5,福岡地下鉄空港線,姪浜行,260
13:53,13:58,5,福岡地下鉄空港線,筑前前原行,260
14:00,14:05,5,福岡地下鉄空港線,姪浜行,260
14:08,14:13,5,福岡地下鉄空港線,筑前前原行,260
14:15,14:20,5,福岡地下鉄空港線,姪浜行,260
14:24,14:29,5,福岡地下鉄空港線,筑前前原行,260
14:33,14:38,5,福岡地下鉄空港線,姪浜行,260
14:41,14:46,5,福岡地下鉄空港線,筑前前原行,260
14:48,14:53,5,福岡地下鉄空港線,姪浜行,260
14:53,14:58,5,福岡地下鉄空港線,筑前前原行,260
15:00,15:05,5,福岡地下鉄空港線,姪浜行,260
15:07,15:12,5,福岡地下鉄空港線,筑前前原行,260
15:15,15:20,5,福岡地下鉄空港線,姪浜行,260
15:22,15:27,5,福岡地下鉄空港線,筑前前原行,260
15:30,15:35,5,福岡地下鉄空港線,姪浜行,260
15:37,15:42,5,福岡地下鉄空港線,筑前前原行,260
15:44,15:49,5,福岡地下鉄空港線,姪浜行,260
15:51,15:56,5,福岡地下鉄空港線,姪浜行,260
15:55,16:00,5,福岡地下鉄空港線,筑前前原行,260
16:04,16:09,5,福岡地下鉄空港線,姪浜行,260
16:12,16:17,5,福岡地下鉄空港線,筑前前原行,260
16:19,16:24,5,福岡地下鉄空港線,筑前前原行,260
16:26,16:31,5,福岡地下鉄空港線,姪浜行,260
16:33,16:38,5,福岡地下鉄空港線,筑前前原行,260
16:39,16:44,5,福岡地下鉄空港線,姪浜行,260
16:46,16:51,5,福岡地下鉄空港線,筑前前原行,260
16:54,16:59,5,福岡地下鉄空港線,姪浜行,260
17:00,17:05,5,福岡地下鉄空港線,筑前前原行,260
17:08,17:13,5,福岡地下鉄空港線,姪浜行,260
17:15,17:20,5,福岡地下鉄空港線,筑前前原行,260
17:24,17:29,5,福岡地下鉄空港線,西唐津行,260
17:31,17:36,5,福岡地下鉄空港線,筑前前原行,260
17:37,17:42,5,福岡地下鉄空港線,姪浜行,260
17:44,17:49,5,福岡地下鉄空港線,姪浜行,260
17:51,17:56,5,福岡地下鉄空港線,筑前前原行,260
17:57,18:02,5,福岡地下鉄空港線,姪浜行,260
18:05,18:10,5,福岡地下鉄空港線,筑前前原行,260
18:11,18:16,5,福岡地下鉄空港線,姪浜行,260
18:14,18:19,5,福岡地下鉄空港線,姪浜行,260
18:20,18:25,5,福岡地下鉄空港線,唐津行,260
18:29,18:34,5,福岡地下鉄空港線,筑前前原行,260
18:37,18:42,5,福岡地下鉄空港線,筑前前原行,260
18:46,18:51,5,福岡地下鉄空港線,姪浜行,260
18:51,18:56,5,福岡地下鉄空港線,筑前前原行,260
18:58,19:03,5,福岡地下鉄空港線,姪浜行,260
19:04,19:09,5,福岡地下鉄空港線,筑前前原行,260
19:12,19:17,5,福岡地下鉄空港線,姪浜行,260
19:19,19:24,5,福岡地下鉄空港線,筑前前原行,260
19:28,19:33,5,福岡地下鉄空港線,姪浜行,260
19:34,19:39,5,福岡地下鉄空港線,筑前前原行,260
19:44,19:49,5,福岡地下鉄空港線,姪浜行,260
19:53,19:58,5,福岡地下鉄空港線,筑前前原行,260
20:00,20:05,5,福岡地下鉄空港線,筑前前原行,260
20:06,20:11,5,福岡地下鉄空港線,姪浜行,260
20:14,20:19,5,福岡地下鉄空港線,姪浜行,260
20:22,20:27,5,福岡地下鉄空港線,筑前前原行,260
20:30,20:35,5,福岡地下鉄空港線,姪浜行,260
20:36,20:41,5,福岡地下鉄空港線,筑前前原行,260
20:43,20:48,5,福岡地下鉄空港線,姪浜行,260
20:49,20:54,5,福岡地下鉄空港線,西唐津行,260
20:56,21:01,5,福岡地下鉄空港線,姪浜行,260
21:06,21:11,5,福岡地下鉄空港線,筑前前原行,260
21:12,21:17,5,福岡地下鉄空港線,姪浜行,260
21:21,21:26,5,福岡地下鉄空港線,唐津行,260
21:30,21:35,5,福岡地下鉄空港線,姪浜行,260
21:37,21:42,5,福岡地下鉄空港線,姪浜行,260
21:46,21:51,5,福岡地下鉄空港線,筑前前原行,260
21:56,22:01,5,福岡地下鉄空港線,姪浜行,260
22:06,22:11,5,福岡地下鉄空港線,筑前前原行,260
22:15,22:20,5,福岡地下鉄空港線,姪浜行,260
22:24,22:29,5,福岡地下鉄空港線,姪浜行,260
22:35,22:40,5,福岡地下鉄空港線,筑前前原行,260
22:44,22:49,5,福岡地下鉄空港線,姪浜行,260
22:56,23:01,5,福岡地下鉄空港線,姪浜行,260
23:10,23:15,5,福岡地下鉄空港線,西唐津行,260
23:21,23:26,5,福岡地下鉄空港線,姪浜行,260
23:32,23:37,5,福岡地下鉄空港線,筑前前原行,260
23:41,23:46,5,福岡地下鉄空港線,姪浜行,260
23:48,23:53,5,福岡地下鉄空港線,姪浜行,260
00:00,00:05,5,福岡地下鉄空港線,筑前前原行,260
