発時刻,着時刻,所要時間,路線,行先,料金
05:50,05:55,5,福岡地下鉄空港線各停,福岡空港,260
06:02,06:07,5,福岡地下鉄空港線各停,福岡空港,260
06:09,06:14,5,福岡地下鉄空港線各停,福岡空港,260
06:22,06:27,5,福岡地下鉄空港線各停,福岡空港,260
06:35,06:40,5,福岡地下鉄空港線各停,福岡空港,260
06:49,06:54,5,福岡地下鉄空港線各停,福岡空港,260
07:02,07:07,5,福岡地下鉄空港線各停,福岡空港,260
07:12,07:17,5,福岡地下鉄空港線各停,福岡空港,260
07:23,07:28,5,福岡地下鉄空港線各停,福岡空港,260
07:30,07:35,5,福岡地下鉄空港線各停,福岡空港,260
07:35,07:40,5,福岡地下鉄空港線各停,福岡空港,260
07:44,07:49,5,福岡地下鉄空港線各停,福岡空港,260
07:52,07:57,5,福岡地下鉄空港線各停,福岡空港,260
08:00,08:05,5,福岡地下鉄空港線各停,福岡空港,260
08:08,08:13,5,福岡地下鉄空港線各停,福岡空港,260
08:16,08:21,5,福岡地下鉄空港線各停,福岡空港,260
08:24,08:29,5,福岡地下鉄空港線各停,福岡空港,260
08:29,08:34,5,福岡地下鉄空港線各停,福岡空港,260
08:38,08:43,5,福岡地下鉄空港線各停,福岡空港,260
08:44,08:49,5,福岡地下鉄空港線各停,福岡空港,260
08:50,08:55,5,福岡地下鉄空港線各停,福岡空港,260
08:55,09:00,5,福岡地下鉄空港線各停,福岡空港,260
09:02,09:07,5,福岡地下鉄空港線各停,福岡空港,260
09:11,09:16,5,福岡地下鉄空港線各停,福岡空港,260
09:21,09:26,5,福岡地下鉄空港線各停,福岡空港,260
09:30,09:35,5,福岡地下鉄空港線各停,福岡空港,260
09:38,09:43,5,福岡地下鉄空港線各停,福岡空港,260
09:44,09:49,5,福岡地下鉄空港線各停,福岡空港,260
09:50,09:55,5,福岡地下鉄空港線各停,福岡空港,260
09:56,10:01,5,福岡地下鉄空港線各停,福岡空港,260
10:02,10:07,5,福岡地下鉄空港線各停,福岡空港,260
10:13,10:18,5,福岡地下鉄空港線各停,福岡空港,260
10:23,10:28,5,福岡地下鉄空港線各停,福岡空港,260
10:29,10:34,5,福岡地下鉄空港線各停,福岡空港,260
10:35,10:40,5,福岡地下鉄空港線各停,福岡空港,260
10:43,10:48,5,福岡地下鉄空港線各停,福岡空港,260
10:51,10:56,5,福岡地下鉄空港線各停,福岡空港,260
10:59,11:04,5,福岡地下鉄空港線各停,福岡空港,260
11:08,11:13,5,福岡地下鉄空港線各停,福岡空港,260
