発時刻,着時刻,所要時間,路線,行先,料金
5:13,5:48,35分,鹿児島本線,大牟田行,870
5:52,6:27,35分,鹿児島本線,鳥栖行,870
6:21,6:56,35分,鹿児島本線,快速 荒尾行,870
6:35,7:10,35分,鹿児島本線,江北行,870
6:56,7:31,35分,鹿児島本線,大牟田行,870
7:52,8:27,35分,鹿児島本線,快速 羽犬塚行,870
7:59,8:34,35分,鹿児島本線,久留米行,870
8:24,8:59,35分,鹿児島本線,久留米行,870
9:54,10:29,35分,鹿児島本線,久留米行,870
10:56,11:31,35分,鹿児島本線,区間快速 羽犬塚行,870
11:47,12:22,35分,鹿児島本線,久留米行,870
12:02,12:37,35分,鹿児島本線,快速 羽犬塚行,870
12:59,13:34,35分,鹿児島本線,区間快速 羽犬塚行,870
13:01,13:36,35分,鹿児島本線,久留米行,870
13:59,14:34,35分,鹿児島本線,区間快速 羽犬塚行,870
14:01,14:36,35分,鹿児島本線,久留米行,870
14:59,15:34,35分,鹿児島本線,区間快速 羽犬塚行,870
15:01,15:36,35分,鹿児島本線,久留米行,870
15:49,16:24,35分,鹿児島本線,快速 羽犬塚行,870
16:10,16:45,35分,鹿児島本線,久留米行,870
16:25,17:00,35分,鹿児島本線,区間快速 久留米行,870
17:04,17:39,35分,鹿児島本線,区間快速 羽犬塚行,870
17:45,18:20,35分,鹿児島本線,大牟田行,870
18:04,18:39,35分,鹿児島本線,区間快速 久留米行,870
18:23,18:58,35分,鹿児島本線,快速 大牟田行,870
18:42,19:17,35分,鹿児島本線,区間快速 羽犬塚行,870
18:54,19:29,35分,鹿児島本線,荒木行,870
19:07,19:42,35分,鹿児島本線,区間快速 久留米行,870
19:42,20:17,35分,鹿児島本線,区間快速 久留米行,870
19:54,20:29,35分,鹿児島本線,久留米行,870
20:22,20:57,35分,鹿児島本線,快速 羽犬塚行,870
20:43,21:18,35分,鹿児島本線,区間快速 荒木行,870
21:14,21:49,35分,鹿児島本線,快速 荒木行,870
21:44,22:19,35分,鹿児島本線,羽犬塚行,870
22:54,23:29,35分,鹿児島本線,区間快速 荒尾行,870
23:16,23:51,35分,鹿児島本線,久留米行,870
23:46,0:21,35分,鹿児島本線,久留米行,870
