発時刻,着時刻,所要時間,路線,行先,料金
4:51,5:26,35分,鹿児島本線鹿児島本線普通,小倉行,870
5:23,5:58,35分,鹿児島本線普通,博多行,870
5:53,6:28,35分,鹿児島本線普通,博多行,870
6:05,6:40,35分,鹿児島本線普通,港行,870
6:15,6:50,35分,鹿児島本線普通,博多行,870
6:23,6:58,35分,鹿児島本線区快,博多行,870
6:28,7:03,35分,鹿児島本線普通,港行,870
6:46,7:21,35分,鹿児島本線普通,間行,870
6:57,7:32,35分,鹿児島本線普通,吉行,870
7:09,7:44,35分,鹿児島本線普通,鳥栖行,870
7:15,7:50,35分,鹿児島本線普通,鳥栖行,870
7:20,7:55,35分,鹿児島本線快速,港行,870
7:35,8:10,35分,鹿児島本線区快,港行,870
7:59,8:34,35分,鹿児島本線快速,港行,870
8:15,8:50,35分,鹿児島本線普通,博多行,870
8:32,9:07,35分,鹿児島本線普通,博多行,870
8:57,9:32,35分,鹿児島本線普通,鳥栖行,870
9:06,9:41,35分,鹿児島本線快速,小倉行,870
9:08,9:43,35分,鹿児島本線区快,港行,870
9:30,10:05,35分,鹿児島本線普通,鳥栖行,870
9:34,10:09,35分,鹿児島本線普通,間行,870
9:59,10:34,35分,鹿児島本線普通,鳥栖行,870
10:06,10:41,35分,鹿児島本線区快,鳥栖行,870
10:33,11:08,35分,鹿児島本線普通,間行,870
10:42,11:17,35分,鹿児島本線区快,港行,870
10:48,11:23,35分,鹿児島本線ゆふ,博多行,870
11:05,11:40,35分,鹿児島本線普通,間行,870
11:19,11:54,35分,鹿児島本線普通,鳥栖行,870
11:26,12:01,35分,鹿児島本線区快,博多行,870
11:46,12:21,35分,鹿児島本線普通,鳥栖行,870
11:52,12:27,35分,鹿児島本線区快,小倉行,870
12:07,12:42,35分,鹿児島本線普通,間行,870
12:17,12:52,35分,鹿児島本線普通,鳥栖行,870
12:48,13:23,35分,鹿児島本線普通,鳥栖行,870
12:52,13:27,35分,鹿児島本線区快,港行,870
13:06,13:41,35分,鹿児島本線普通,間行,870
13:16,13:51,35分,鹿児島本線普通,鳥栖行,870
13:43,14:18,35分,鹿児島本線普通,鳥栖行,870
13:46,14:21,35分,鹿児島本線ゆ森,博多行,870
13:52,14:27,35分,鹿児島本線区快,港行,870
14:06,14:41,35分,鹿児島本線普通,間行,870
14:20,14:55,35分,鹿児島本線普通,鳥栖行,870
14:45,15:20,35分,鹿児島本線普通,鳥栖行,870
14:50,15:25,35分,鹿児島本線区快,港行,870
15:06,15:41,35分,鹿児島本線普通,間行,870
15:19,15:54,35分,鹿児島本線普通,鳥栖行,870
15:47,16:22,35分,鹿児島本線普通,鳥栖行,870
15:52,16:27,35分,鹿児島本線区快,小倉行,870
15:59,16:34,35分,鹿児島本線ゆふ,博多行,870
16:04,16:39,35分,鹿児島本線普通,間行,870
16:14,16:49,35分,鹿児島本線普通,鳥栖行,870
16:22,16:57,35分,鹿児島本線区快,港行,870
16:51,17:26,35分,鹿児島本線普通,鳥栖行,870
17:00,17:35,35分,鹿児島本線普通,港行,870
17:08,17:43,35分,鹿児島本線快速,小倉行,870
17:25,18:00,35分,鹿児島本線普通,港行,870
17:28,18:03,35分,鹿児島本線区快,港行,870
17:36,18:11,35分,鹿児島本線ゆ森,博多行,870
17:50,18:25,35分,鹿児島本線普通,鳥栖行,870
18:06,18:41,35分,鹿児島本線快速,港行,870
18:13,18:48,35分,鹿児島本線普通,海行,870
18:35,19:10,35分,鹿児島本線普通,鳥栖行,870
18:43,19:18,35分,鹿児島本線区快,小倉行,870
18:49,19:24,35分,鹿児島本線普通,港行,870
18:54,19:29,35分,鹿児島本線ゆ森,博多行,870
19:06,19:41,35分,鹿児島本線普通,鳥栖行,870
19:10,19:45,35分,鹿児島本線快速,港行,870
19:42,20:17,35分,鹿児島本線普通,鳥栖行,870
19:54,20:29,35分,鹿児島本線普通,博多行,870
20:13,20:48,35分,鹿児島本線快速,小倉行,870
20:17,20:52,35分,鹿児島本線普通,港行,870
20:35,21:10,35分,鹿児島本線普通,小倉行,870
20:54,21:29,35分,鹿児島本線普通,鳥栖行,870
21:04,21:39,35分,鹿児島本線ゆふ,博多行,870
21:21,21:56,35分,鹿児島本線快速,港行,870
21:35,22:10,35分,鹿児島本線普通,鳥栖行,870
21:58,22:33,35分,鹿児島本線普通,博多行,870
22:10,22:45,35分,鹿児島本線普通,鳥栖行,870
23:20,23:55,35分,鹿児島本線普通,博多行,870
