発時刻,着時刻,所要時間,路線,行先,料金
5:00,5:03,3,JR京都線,京都行 【始発】,180
5:19,5:22,3,JR京都線,京都行 【始発】,180
5:39,5:43,4,JR京都線,京都行,180
5:46,5:49,3,JR京都線,吹田行,180
5:55,5:58,3,JR京都線快速,長浜行 【始発】,180
5:57,6:00,3,JR京都線,京都行,180
6:12,6:15,3,JR京都線,京都行,180
6:16,6:21,5,くろしお2号,新大阪行,180
6:21,6:24,3,JR京都線快速,米原行 【始発】,180
6:23,6:27,4,JR京都線,高槻行,180
6:30,6:33,3,サンダーバード1号,敦賀行 【始発】,180
6:30,6:34,4,JR京都線,京都行 【始発】,180
6:39,6:42,3,JR京都線快速,米原行,180
6:41,6:45,4,JR京都線,高槻行,180
6:48,6:51,3,JR京都線,京都行,180
6:56,6:59,3,JR京都線快速,米原行,180
6:57,7:01,4,JR京都線,高槻行,180
7:00,7:03,3,サンダーバード3号,敦賀行 【始発】,180
7:02,7:05,3,JR京都線,京都行,180
7:09,7:13,4,JR京都線快速,野洲行,180
7:11,7:15,5,JR京都線,高槻行,180
7:14,7:19,5,くろしお4号,新大阪行,180
7:15,7:19,4,JR京都線,京都行,180
7:15,7:19,4,JR京都線新快速,米原行 【始発】,180
7:24,7:28,4,JR京都線快速,米原行,180
7:26,7:30,4,JR京都線,高槻行,180
7:30,7:33,3,JR京都線新快速,近江塩津行,180
7:30,7:34,4,JR京都線,京都行,180
7:33,7:38,5,はるか2号,京都行,180
7:39,7:43,4,JR京都線快速,野洲行,180
7:40,7:43,3,サンダーバード5号,敦賀行 【始発】,180
7:41,7:45,4,JR京都線,高槻行,180
7:42,7:46,4,こうのとり2号,新大阪行,180
7:45,7:48,3,JR京都線新快速,敦賀行,180
7:46,7:50,4,JR京都線,京都行,180
7:53,7:57,4,JR京都線快速,長浜行,180
7:56,8:00,4,JR京都線,高槻行,180
8:00,8:03,3,JR京都線新快速,米原行,180
8:01,8:05,4,JR京都線,京都行,180
8:02,8:07,5,くろしお6号,新大阪行,180
8:08,8:12,4,JR京都線快速,野洲行,180
8:10,8:13,3,サンダーバード7号,敦賀行 【始発】,180
8:11,8:15,4,JR京都線,高槻行,180
8:15,8:18,3,JR京都線新快速,草津行,180
8:16,8:20,4,JR京都線,高槻行,180
8:23,8:27,4,JR京都線快速,米原行,180
8:25,8:29,4,JR京都線,京都行,180
8:30,8:33,3,JR京都線新快速,近江塩津行,180
8:31,8:35,4,はるか4号,京都行,180
8:31,8:35,4,JR京都線,高槻行,180
8:38,8:42,4,JR京都線快速,野洲行,180
8:40,8:43,3,サンダーバード9号,敦賀行 【始発】,180
8:40,8:44,4,JR京都線,京都行,180
8:42,8:46,4,こうのとり4号,新大阪行,180
8:45,8:48,3,JR京都線新快速,近江今津行,180
8:46,8:50,4,JR京都線,高槻行,180
8:53,8:57,4,JR京都線快速,米原行,180
8:55,8:59,4,JR京都線,京都行,180
9:00,9:03,3,JR京都線新快速22号,草津行,180
9:01,9:05,4,JR京都線,高槻行,180
9:02,9:06,4,はるか6号,京都行,180
9:08,9:12,4,JR京都線快速,野洲行,180
9:10,9:14,4,JR京都線,京都行,180
9:12,9:16,4,サンダーバード11号,敦賀行 【始発】,180
9:15,9:18,3,JR京都線新快速,敦賀行,180
9:16,9:20,4,JR京都線,高槻行,180
9:16,9:21,5,くろしお8号,新大阪行,180
9:23,9:27,4,JR京都線快速,米原行,180
9:25,9:29,4,JR京都線,高槻行,180
9:28,9:32,4,こうのとり6号,新大阪行,180
9:30,9:34,4,JR京都線新快速,近江塩津行,180
9:31,9:35,4,JR京都線,高槻行,180
9:32,9:36,4,はるか8号,京都行,180
9:38,9:42,4,JR京都線快速,野洲行,180
9:40,9:44,4,JR京都線,高槻行,180
9:41,9:44,3,サンダーバード13号,敦賀行 【始発】,180
9:45,9:49,4,JR京都線新快速24号,野洲行,180
