発時刻,着時刻,所要時間,路線名,行先,料金
5:19,5:23,4,ＪＲ京都線,西明石行,180
5:34,5:38,4,ＪＲ京都線,西明石行,180
5:45,5:49,4,ＪＲ京都線,西明石行,180
5:52,5:56,4,ＪＲ京都線,尼崎行,180
5:54,5:58,4,JR京都線快速,網干行,180
6:07,6:11,4,ＪＲ京都線,西明石行,180
6:12,6:16,4,ＪＲ京都線,尼崎行,180
6:16,6:20,4,JR京都線快速,姫路行,180
6:16,6:21,5,はるか1号,関西空港行,180
6:22,6:26,4,ＪＲ京都線,甲子園口行,180
6:27,6:31,5,ＪＲ京都線,新三田行,180
6:34,6:38,4,ＪＲ京都線,西明石行,180
6:39,6:43,4,ＪＲ京都線,尼崎行,180
6:41,6:45,4,JR京都線快速,網干行,180
6:47,6:51,4,ＪＲ京都線,西明石行,180
6:47,6:51,4,はるか3号,関西空港行,180
6:54,6:57,3,ＪＲ京都線,新三田行,180
6:58,7:02,4,ＪＲ京都線,西明石行,180
7:00,7:04,4,JR京都線快速,網干行,180
7:09,7:13,4,ＪＲ京都線,新三田行,180
7:13,7:17,4,ＪＲ京都線,西明石行,180
7:15,7:19,4,JR京都線快速,姫路行,180
7:15,7:19,4,はるか5号,関西空港行,180
7:23,7:27,4,ＪＲ京都線,新三田行,180
7:27,7:31,4,ＪＲ京都線,西明石行,180
7:30,7:33,3,JR京都線快速,網干行,180
7:30,7:34,4,エキスポライナー,桜島行 【始発】,180
7:31,7:35,4,スーパーはくと1号,倉吉行,180
7:34,7:39,5,くろしお1号,新宮行 【始発】,180
7:38,7:42,4,ＪＲ京都線新快速,姫路行,180
7:38,7:42,4,ＪＲ京都線,新三田行,180
7:44,7:48,4,ＪＲ京都線,西明石行,180
7:45,7:49,4,はるか7号,関西空港行,180
7:46,7:50,4,JR京都線快速,姫路行,180
7:53,7:57,4,ＪＲ京都線,新三田行,180
7:53,7:57,4,ＪＲ京都線新快速,播州赤穂行,180
7:58,8:02,4,ＪＲ京都線,西明石行,180
8:01,8:04,3,JR京都線快速,網干行,180
8:02,8:06,4,ＪＲ京都線,大阪行,180
8:02,8:06,4,エキスポライナー,桜島行 【始発】,180
8:06,8:10,4,こうのとり1号,城崎温泉行 【始発】,180
8:08,8:12,4,ＪＲ京都線新快速,姫路行,180
8:08,8:12,4,ＪＲ京都線,新三田行,180
8:14,8:18,4,ＪＲ京都線,西明石行,180
8:14,8:18,4,はるか9号,関西空港行,180
8:16,8:20,4,JR京都線快速,姫路行,180
8:20,8:24,4,エキスポライナー,桜島行 【始発】,180
8:23,8:27,4,ＪＲ京都線新快速,姫路行,180
8:23,8:27,4,ＪＲ京都線,新三田行,180
8:26,8:30,4,サンダーバード2号,大阪行,180
8:29,8:33,4,ＪＲ京都線,西明石行,180
8:31,8:35,4,JR京都線快速,姫路行,180
8:38,8:42,4,ＪＲ京都線新快速,姫路行,180
8:38,8:42,4,ＪＲ京都線,新三田行,180
8:44,8:48,4,ＪＲ京都線,西明石行,180
8:45,8:49,4,はるか11号,関西空港行,180
8:46,8:50,4,JR京都線快速,加古川行,180
8:53,8:57,4,ＪＲ京都線新快速,姫路行,180
8:53,8:57,4,ＪＲ京都線,新三田行,180
8:58,9:03,5,くろしお3号,白浜行 【始発】,180
8:59,9:03,4,ＪＲ京都線,西明石行,180
9:01,9:05,4,JR京都線快速,網干行,180
9:02,9:06,4,サンダーバード4号,大阪行,180
9:04,9:08,4,こうのとり3号,城崎温泉行 【始発】,180
9:08,9:12,4,ＪＲ京都線新快速,網干行,180
9:08,9:12,4,ＪＲ京都線,新三田行,180
9:13,9:18,5,はるか13号,関西空港行,180
9:14,9:18,4,ＪＲ京都線,西明石行,180
9:15,9:19,4,スーパーはくと3号,倉吉行,180
9:16,9:20,4,JR京都線快速,加古川行,180
9:23,9:27,4,ＪＲ京都線,新三田行,180
9:24,9:28,4,ＪＲ京都線新快速,姫路行,180
9:28,9:32,4,くろしお5号,新宮行 【始発】,180
9:29,9:33,4,サンダーバード6号,大阪行,180
9:29,9:33,4,ＪＲ京都線,須磨行,180
9:31,9:35,4,JR京都線快速,網干行,180
9:38,9:42,4,ＪＲ京都線,新三田行,180
9:39,9:43,4,ＪＲ京都線新快速,姫路行,180
9:41,9:45,4,エキスポライナー,桜島行 【始発】,180
9:44,9:48,4,ＪＲ京都線,須磨行,180
9:46,9:50,4,JR京都線快速,加古川行,180
9:52,9:56,4,ＪＲ京都線,新三田行,180
9:54,9:58,4,ＪＲ京都線新快速,姫路行,180
9:58,10:02,4,はるか15号,関西空港行,180
9:59,10:03,4,サンダーバード8号,大阪行,180
9:59,10:03,4,ＪＲ京都線,須磨行,180
10:01,10:05,4,JR京都線快速,網干行,180
10:05,10:10,5,こうのとり5号,城崎温泉行 【始発】,180
10:08,10:12,4,ＪＲ京都線,新三田行,180
10:09,10:13,4,ＪＲ京都線新快速,姫路行,180
10:13,10:17,4,くろしお7号,白浜行 【始発】,180
10:14,10:18,4,ＪＲ京都線,須磨行,180
10:16,10:20,4,JR京都線快速,加古川行,180
10:23,10:27,4,ＪＲ京都線,新三田行,180
10:24,10:28,4,ＪＲ京都線新快速,姫路行,180
10:28,10:32,4,はるか17号,関西空港行,180
10:29,10:33,4,サンダーバード10号,大阪行,180
10:29,10:33,4,ＪＲ京都線,須磨行,180
10:31,10:35,4,JR京都線快速,網干行,180
10:33,10:37,4,ＪＲ京都線,大阪行,180
10:38,10:42,4,ＪＲ京都線,新三田行,180
10:39,10:43,4,ＪＲ京都線新快速,姫路行,180
10:44,10:48,4,ＪＲ京都線,須磨行,180
10:45,10:49,4,エキスポライナー,桜島行 【始発】,180
10:46,10:50,4,JR京都線快速,加古川行,180
10:53,10:57,4,ＪＲ京都線,宝塚行,180
10:54,10:58,4,ＪＲ京都線新快速,姫路行,180
10:58,11:02,4,はるか19号,関西空港行,180
10:58,11:02,4,サンダーバード12号,大阪行,180
10:59,11:03,4,ＪＲ京都線,須磨行,180
11:01,11:05,4,JR京都線快速,網干行,180
11:05,11:09,4,こうのとり7号,福知山行 【始発】,180
11:08,11:12,4,ＪＲ京都線,宝塚行,180
11:09,11:13,4,ＪＲ京都線新快速,姫路行,180
11:13,11:17,4,くろしお9号,白浜行 【始発】,180
11:14,11:18,4,ＪＲ京都線,須磨行,180
11:16,11:20,4,JR京都線快速,加古川行,180
11:23,11:27,4,ＪＲ京都線,宝塚行,180
11:24,11:28,4,ＪＲ京都線新快速21号,姫路行,180
11:28,11:32,4,はるか21号,関西空港行,180
11:29,11:33,4,ＪＲ京都線,須磨行,180
11:31,11:35,4,JR京都線快速,網干行,180
11:31,11:35,4,ＪＲ京都線,大阪行,180
11:34,11:38,4,サンダーバード14号,大阪行,180
11:38,11:42,4,ＪＲ京都線,宝塚行,180
11:39,11:43,4,ＪＲ京都線新快速,姫路行,180
11:44,11:48,4,エキスポライナー,桜島行 【始発】,180
11:44,11:48,4,ＪＲ京都線,須磨行,180
11:46,11:50,4,JR京都線快速,加古川行,180
11:53,11:57,4,ＪＲ京都線,宝塚行,180
11:54,11:58,4,ＪＲ京都線新快速,姫路行,180
11:58,12:02,4,はるか23号,関西空港行,180
11:59,12:03,4,ＪＲ京都線,須磨行,180
12:01,12:05,4,JR京都線快速,網干行,180
12:02,12:06,4,サンダーバード16号,大阪行,180
12:05,12:09,4,こうのとり9号,城崎温泉行 【始発】,180
12:08,12:12,4,ＪＲ京都線,宝塚行,180
12:09,12:13,4,ＪＲ京都線新快速,姫路行,180
12:13,12:17,4,くろしお11号,新宮行 【始発】,180
12:14,12:18,4,ＪＲ京都線,須磨行,180
12:16,12:20,4,JR京都線快速,加古川行,180
12:23,12:27,4,ＪＲ京都線,宝塚行,180
12:24,12:28,4,ＪＲ京都線新快速,姫路行,180
12:28,12:32,4,はるか25号,関西空港行,180
12:29,12:33,4,ＪＲ京都線,須磨行,180
