発時刻,着時刻,時刻,路線名,行先,料金
5:19,4,5:23,ＪＲ京都線,西明石行,180
5:34,4,5:38,ＪＲ京都線,西明石行,180
5:45,4,5:49,ＪＲ京都線,西明石行,180
5:52,4,5:56,ＪＲ京都線,尼崎行,180
5:54,4,5:58,JR京都線快速,網干行,180
6:07,4,6:11,ＪＲ京都線,西明石行,180
6:12,4,6:16,ＪＲ京都線,尼崎行,180
6:16,4,6:20,JR京都線快速,姫路行,180
6:16,5,6:21,はるか1号,関西空港行,180
6:22,4,6:26,ＪＲ京都線,甲子園口行,180
6:27,5,6:31,ＪＲ京都線,新三田行,180
6:34,4,6:38,ＪＲ京都線,西明石行,180
6:39,4,6:43,ＪＲ京都線,尼崎行,180
6:41,4,6:45,JR京都線快速,網干行,180
6:47,4,6:51,ＪＲ京都線,西明石行,180
6:47,4,6:51,はるか3号,関西空港行,180
6:54,3,6:57,ＪＲ京都線,新三田行,180
6:58,4,7:02,ＪＲ京都線,西明石行,180
7:00,4,7:04,JR京都線快速,網干行,180
7:09,4,7:13,ＪＲ京都線,新三田行,180
7:13,4,7:17,ＪＲ京都線,西明石行,180
7:15,4,7:19,JR京都線快速,姫路行,180
7:15,4,7:19,はるか5号,関西空港行,180
7:23,4,7:27,ＪＲ京都線,新三田行,180
7:27,4,7:31,ＪＲ京都線,西明石行,180
7:30,3,7:33,JR京都線快速,網干行,180
7:30,4,7:34,エキスポライナー,桜島行 【始発】,180
7:31,4,7:35,スーパーはくと1号,倉吉行,180
7:34,5,7:39,くろしお1号,新宮行 【始発】,180
7:38,4,7:42,ＪＲ京都線新快速,姫路行,180
7:38,4,7:42,ＪＲ京都線,新三田行,180
7:44,4,7:48,ＪＲ京都線,西明石行,180
7:45,4,7:49,はるか7号,関西空港行,180
7:46,4,7:50,JR京都線快速,姫路行,180
7:53,4,7:57,ＪＲ京都線,新三田行,180
7:53,4,7:57,ＪＲ京都線新快速,播州赤穂行,180
7:58,4,8:02,ＪＲ京都線,西明石行,180
8:01,3,8:04,JR京都線快速,網干行,180
8:02,4,8:06,ＪＲ京都線,大阪行,180
8:02,4,8:06,エキスポライナー,桜島行 【始発】,180
8:06,4,8:10,こうのとり1号,城崎温泉行 【始発】,180
8:08,4,8:12,ＪＲ京都線新快速,姫路行,180
8:08,4,8:12,ＪＲ京都線,新三田行,180
8:14,4,8:18,ＪＲ京都線,西明石行,180
8:14,4,8:18,はるか9号,関西空港行,180
8:16,4,8:20,JR京都線快速,姫路行,180
8:20,4,8:24,エキスポライナー,桜島行 【始発】,180
8:23,4,8:27,ＪＲ京都線新快速,姫路行,180
8:23,4,8:27,ＪＲ京都線,新三田行,180
8:26,4,8:30,サンダーバード2号,大阪行,180
8:29,4,8:33,ＪＲ京都線,西明石行,180
8:31,4,8:35,JR京都線快速,姫路行,180
8:38,4,8:42,ＪＲ京都線新快速,姫路行,180
8:38,4,8:42,ＪＲ京都線,新三田行,180
8:44,4,8:48,ＪＲ京都線,西明石行,180
8:45,4,8:49,はるか11号,関西空港行,180
8:46,4,8:50,JR京都線快速,加古川行,180
8:53,4,8:57,ＪＲ京都線新快速,姫路行,180
8:53,4,8:57,ＪＲ京都線,新三田行,180
8:58,5,9:03,くろしお3号,白浜行 【始発】,180
8:59,4,9:03,ＪＲ京都線,西明石行,180
9:01,4,9:05,JR京都線快速,網干行,180
9:02,4,9:06,サンダーバード4号,大阪行,180
9:04,4,9:08,こうのとり3号,城崎温泉行 【始発】,180
9:08,4,9:12,ＪＲ京都線新快速,網干行,180
9:08,4,9:12,ＪＲ京都線,新三田行,180
9:13,5,9:18,はるか13号,関西空港行,180
9:14,4,9:18,ＪＲ京都線,西明石行,180
9:15,4,9:19,スーパーはくと3号,倉吉行,180
9:16,4,9:20,JR京都線快速,加古川行,180
9:23,4,9:27,ＪＲ京都線,新三田行,180
9:24,4,9:28,ＪＲ京都線新快速,姫路行,180
9:28,4,9:32,くろしお5号,新宮行 【始発】,180
9:29,4,9:33,サンダーバード6号,大阪行,180
9:29,4,9:33,ＪＲ京都線,須磨行,180
9:31,4,9:35,JR京都線快速,網干行,180
9:38,4,9:42,ＪＲ京都線,新三田行,180
9:39,4,9:43,ＪＲ京都線新快速,姫路行,180
9:41,4,9:45,エキスポライナー,桜島行 【始発】,180
9:44,4,9:48,ＪＲ京都線,須磨行,180
9:46,4,9:50,JR京都線快速,加古川行,180
9:52,4,9:56,ＪＲ京都線,新三田行,180
9:54,4,9:58,ＪＲ京都線新快速,姫路行,180
9:58,4,10:02,はるか15号,関西空港行,180
9:59,4,10:03,サンダーバード8号,大阪行,180
9:59,4,10:03,ＪＲ京都線,須磨行,180
10:01,4,10:05,JR京都線快速,網干行,180
10:05,5,10:10,こうのとり5号,城崎温泉行 【始発】,180
10:08,4,10:12,ＪＲ京都線,新三田行,180
10:09,4,10:13,ＪＲ京都線新快速,姫路行,180
10:13,4,10:17,くろしお7号,白浜行 【始発】,180
10:14,4,10:18,ＪＲ京都線,須磨行,180
10:16,4,10:20,JR京都線快速,加古川行,180
10:23,4,10:27,ＪＲ京都線,新三田行,180
10:24,4,10:28,ＪＲ京都線新快速,姫路行,180
10:28,4,10:32,はるか17号,関西空港行,180
10:29,4,10:33,サンダーバード10号,大阪行,180
10:29,4,10:33,ＪＲ京都線,須磨行,180
10:31,4,10:35,JR京都線快速,網干行,180
10:33,4,10:37,ＪＲ京都線,大阪行,180
10:38,4,10:42,ＪＲ京都線,新三田行,180
10:39,4,10:43,ＪＲ京都線新快速,姫路行,180
10:44,4,10:48,ＪＲ京都線,須磨行,180
10:45,4,10:49,エキスポライナー,桜島行 【始発】,180
10:46,4,10:50,JR京都線快速,加古川行,180
10:53,4,10:57,ＪＲ京都線,宝塚行,180
10:54,4,10:58,ＪＲ京都線新快速,姫路行,180
10:58,4,11:02,はるか19号,関西空港行,180
10:58,4,11:02,サンダーバード12号,大阪行,180
10:59,4,11:03,ＪＲ京都線,須磨行,180
11:01,4,11:05,JR京都線快速,網干行,180
11:05,4,11:09,こうのとり7号,福知山行 【始発】,180
11:08,4,11:12,ＪＲ京都線,宝塚行,180
11:09,4,11:13,ＪＲ京都線新快速,姫路行,180
11:13,4,11:17,くろしお9号,白浜行 【始発】,180
11:14,4,11:18,ＪＲ京都線,須磨行,180
11:16,4,11:20,JR京都線快速,加古川行,180
11:23,4,11:27,ＪＲ京都線,宝塚行,180
11:24,4,11:28,ＪＲ京都線新快速21号,姫路行,180
11:28,4,11:32,はるか21号,関西空港行,180
11:29,4,11:33,ＪＲ京都線,須磨行,180
11:31,4,11:35,JR京都線快速,網干行,180
11:31,4,11:35,ＪＲ京都線,大阪行,180
11:34,4,11:38,サンダーバード14号,大阪行,180
11:38,4,11:42,ＪＲ京都線,宝塚行,180
11:39,4,11:43,ＪＲ京都線新快速,姫路行,180
11:44,4,11:48,エキスポライナー,桜島行 【始発】,180
11:44,4,11:48,ＪＲ京都線,須磨行,180
11:46,4,11:50,JR京都線快速,加古川行,180
11:53,4,11:57,ＪＲ京都線,宝塚行,180
11:54,4,11:58,ＪＲ京都線新快速,姫路行,180
11:58,4,12:02,はるか23号,関西空港行,180
11:59,4,12:03,ＪＲ京都線,須磨行,180
12:01,4,12:05,JR京都線快速,網干行,180
12:02,4,12:06,サンダーバード16号,大阪行,180
12:05,4,12:09,こうのとり9号,城崎温泉行 【始発】,180
12:08,4,12:12,ＪＲ京都線,宝塚行,180
12:09,4,12:13,ＪＲ京都線新快速,姫路行,180
12:13,4,12:17,くろしお11号,新宮行 【始発】,180
