発時刻,着時刻,所要時間,路線,行先,料金
6:00,8:23,2:23,のぞみ210号,東京,13870
6:15,8:39,2:24,のぞみ212号,東京,13870
6:24,8:51,2:27,のぞみ66号,東京,13870
6:33,8:57,2:24,のぞみ68号,東京,13870
6:51,9:15,2:24,のぞみ70号,東京,13870
6:57,9:24,2:27,のぞみ214号,東京,13870
7:09,9:36,2:27,のぞみ72号,東京,13870
7:15,9:45,2:30,のぞみ216号,東京,13870
7:30,9:57,2:27,のぞみ74号,東京,13870
7:39,10:06,2:27,のぞみ218号,東京,13870
7:45,10:15,2:30,のぞみ220号,東京,13870
7:51,10:21,2:30,のぞみ302号,東京,13870
7:57,10:24,2:27,のぞみ76号,東京,13870
8:06,10:33,2:27,のぞみ222号,東京,13870
8:15,10:45,2:30,のぞみ78号,東京,13870
8:22,10:51,2:29,のぞみ308号,東京,13870
8:30,10:57,2:27,のぞみ2号,東京,13870
8:39,11:06,2:27,のぞみ224号,東京,13870
8:45,11:15,2:30,のぞみ80号,東京,13870
8:57,11:24,2:27,のぞみ82号,東京,13870
9:06,11:33,2:27,のぞみ4号,東京,13870
9:09,11:36,2:27,のぞみ318号,東京,13870
9:15,11:36,2:21,のぞみ114号,東京,13870
9:18,11:45,2:27,のぞみ,東京,13870
9:21,11:51,2:30,のぞみ320号,東京,13870
9:24,11:54,2:30,のぞみ84号,東京,13870
9:33,12:03,2:30,のぞみ86号,東京,13870
9:45,12:15,2:30,のぞみ6号,東京,13870
9:48,12:42,2:54,のぞみ,東京,13870
9:54,13:48,3:54,こだま,東京,13870
9:57,12:24,2:27,のぞみ88号,東京,13870
10:06,12:33,2:27,のぞみ8号,東京,13870
10:15,12:45,2:30,のぞみ228号,東京,13870
10:18,13:12,2:54,のぞみ,東京,13870
10:21,12:51,2:30,のぞみ332号,東京,13870
10:30,12:57,2:27,のぞみ10号,東京,13870
10:39,13:06,2:27,のぞみ120号,東京,13870
10:45,13:15,2:30,のぞみ12号,東京,13870
10:57,13:24,2:27,のぞみ122号,東京,13870
11:06,13:33,2:27,のぞみ14号,東京,13870
11:15,13:45,2:30,のぞみ230号,東京,13870
11:18,14:12,2:54,のぞみ,東京,13870
11:21,13:51,2:30,のぞみ348号,東京,13870
11:30,13:57,2:27,のぞみ90号,東京,13870
11:39,14:06,2:27,のぞみ128号,東京,13870
11:45,14:15,2:30,のぞみ16号,東京,13870
11:57,15:48,3:51,のぞみ358号,東京,13870
12:06,14:33,2:27,のぞみ18号,東京,13870
12:15,14:45,2:30,のぞみ232号,東京,13870
12:21,14:51,2:30,のぞみ364号,東京,13870
12:30,14:57,2:27,のぞみ92号,東京,13870
12:39,15:06,2:27,のぞみ136号,東京,13870
12:45,15:15,2:30,のぞみ20号,東京,13870
12:57,15:24,2:27,のぞみ374号,東京,13870
13:06,15:33,2:27,のぞみ22号,東京,13870
13:15,15:45,2:30,のぞみ234号,東京,13870
13:21,15:51,2:30,のぞみ380号,東京,13870
13:30,15:57,2:27,のぞみ94号,東京,13870
13:39,16:06,2:27,のぞみ144号,東京,13870
13:45,16:15,2:30,のぞみ24号,東京,13870
13:57,16:24,2:27,のぞみ390号,東京,13870
14:06,16:33,2:27,のぞみ26号,東京,13870
14:15,16:45,2:30,のぞみ236号,東京,13870
14:21,16:51,2:30,のぞみ296号,東京,13870
14:30,16:57,2:27,のぞみ96号,東京,13870
14:45,17:06,2:21,のぞみ28号,東京,13870
14:51,17:21,2:30,のぞみ404号,東京,13870
14:57,17:24,2:27,のぞみ406号,東京,13870
15:00,17:27,2:27,のぞみ238号,東京,13870
15:06,17:33,2:27,のぞみ30号,東京,13870
15:15,17:45,2:30,のぞみ240号,東京,13870
15:30,18:42,3:12,のぞみ98号,東京,13870
15:39,18:06,2:27,のぞみ160号,東京,13870
15:45,18:15,2:30,のぞみ32号,東京,13870
15:57,18:24,2:27,のぞみ418号,東京,13870
16:00,18:27,2:27,のぞみ244号,東京,13870
16:06,18:33,2:27,のぞみ34号,東京,13870
16:15,18:45,2:30,のぞみ246号,東京,13870
16:21,18:51,2:30,のぞみ422号,東京,13870
16:30,18:57,2:27,のぞみ100号,東京,13870
16:39,19:06,2:27,のぞみ170号,東京,13870
16:45,19:12,2:27,のぞみ36号,東京,13870
16:51,19:21,2:30,のぞみ430号,東京,13870
16:57,19:24,2:27,のぞみ432号,東京,13870
17:00,19:27,2:27,のぞみ248号,東京,13870
17:06,19:33,2:27,のぞみ38号,東京,13870
17:09,19:36,2:27,のぞみ434号,東京,13870
17:15,19:45,2:30,のぞみ250号,東京,13870
17:21,19:51,2:30,のぞみ436号,東京,13870
17:30,19:57,2:27,のぞみ40号,東京,13870
17:39,20:06,2:27,のぞみ102号,東京,13870
17:45,20:15,2:30,のぞみ42号,東京,13870
17:51,20:21,2:30,のぞみ442号,東京,13870
18:57,20:04,1:07,のぞみ444号,東京,13870
18:00,20:27,2:27,のぞみ252号,東京,13870
18:06,20:33,2:27,のぞみ44号,東京,13870
18:09,20:36,2:27,のぞみ446号,東京,13870
18:15,20:45,2:30,のぞみ254号,東京,13870
18:21,20:51,2:30,のぞみ448号,東京,13870
18:24,20:54,2:30,のぞみ450号,東京,13870
18:30,20:57,2:27,のぞみ46号,東京,13870
18:39,21:06,2:27,のぞみ104号,東京,13870
18:45,21:15,2:30,のぞみ48号,東京,13870
18:51,21:21,2:30,のぞみ454号,東京,13870
18:57,21:24,2:27,のぞみ456号,東京,13870
19:00,21:24,2:24,のぞみ256号,東京,13870
19:06,21:33,2:27,のぞみ50号,東京,13870
19:15,21:42,2:27,のぞみ258号,東京,13870
19:18,21:45,2:27,のぞみ458号,東京,13870
19:21,22:18,2:57,のぞみ664号,東京,13870
19:24,21:51,2:27,のぞみ460号,東京,13870
19:30,21:57,2:27,のぞみ52号,東京,13870
19:39,22:06,2:27,のぞみ464号,東京,13870
19:45,22:15,2:30,のぞみ54号,東京,13870
19:48,22:27,2:39,のぞみ522号,東京,13870
19:54,22:21,2:27,のぞみ468号,東京,13870
20:00,22:24,2:24,のぞみ260号,東京,13870
20:06,22:33,2:27,のぞみ56号,東京,13870
20:15,22:42,2:27,のぞみ262号,東京,13870
20:21,23:06,2:45,のぞみ474号,東京,13870
20:24,22:51,2:27,のぞみ44号,東京,13870
20:33,22:57,2:24,のぞみ58号,東京,13870
20:39,23:03,2:24,のぞみ478号,東京,13870
20:48,23:12,2:24,のぞみ60号,東京,13870
20:57,23:21,2:24,のぞみ480号,東京,13870
21:00,23:27,2:27,のぞみ482号,東京,13870
21:06,23:32,2:26,のぞみ62号,東京,13870
21:09,23:36,2:27,のぞみ484号,東京,13870
21:15,23:39,2:24,のぞみ486号,東京,13870
21:24,23:45,2:21,のぞみ64号,東京,13870
