発時刻,着時刻,所要時間,路線,行先,料金
6:00,8:22,2:22,のぞみ1号,博多,13870
6:06,8:30,2:24,のぞみ101号,博多,13870
6:09,8:36,2:27,のぞみ283号,新大阪,13870
6:15,8:39,2:24,のぞみ3号,博多,13870
6:18,8:45,2:27,のぞみ285号,新大阪,13870
6:24,8:48,2:24,のぞみ103号,博多,13870
6:33,9:00,2:27,のぞみ005号,博多,13870
6:42,9:06,2:24,のぞみ105号,博多,13870
6:45,9:09,2:24,のぞみ289号,新大阪,13870
6:48,9:15,2:27,のぞみ007号,博多,13870
6:51,9:18,2:27,のぞみ291号,新大阪,13870
6:54,9:24,2:30,のぞみ293号,新大阪,13870
7:00,9:27,2:27,のぞみ107号,広島,13870
7:09,9:36,2:27,のぞみ295号,新大阪,13870
7:12,9:39,2:27,のぞみ9号,博多,13870
7:18,9:45,2:27,のぞみ297号,新大阪,13870
7:21,9:48,2:27,のぞみ109号,博多,13870
7:24,10:54,3:30,のぞみ299号,新大阪,13870
7:30,10:00,2:30,のぞみ11号,新大阪,13870
7:39,10:06,2:27,のぞみ111号,博多,13870
7:42,9:54,2:12,のぞみ113号,広島,13870
7:48,10:15,2:27,のぞみ13号,博多,13870
7:51,10:21,2:30,のぞみ303号,博多,13870
7:54,10:24,2:30,のぞみ305号,新大阪,13870
8:00,10:30,2:30,のぞみ61号,広島,13870
8:09,10:36,2:27,のぞみ307号,新大阪,13870
8:12,10:39,2:27,のぞみ15号,博多,13870
8:18,10:45,2:27,のぞみ309号,新大阪,13870
8:21,10:48,2:27,のぞみ117号,博多,13870
8:24,10:54,2:30,のぞみ311号,新大阪,13870
8:30,11:00,2:30,のぞみ17号,博多,13870
8:39,11:06,2:27,のぞみ119号,博多,13870
8:42,11:12,2:30,のぞみ121号,博多,13870
8:48,11:15,2:27,のぞみ63号,広島,13870
8:51,11:21,2:30,のぞみ315号,新大阪,13870
8:54,11:24,2:30,のぞみ317号,新大阪,13870
9:00,11:30,2:30,のぞみ125号,博多,13870
9:09,11:36,2:27,のぞみ225号,新大阪,13870
9:12,11:39,2:27,のぞみ19号,博多,13870
9:18,11:45,2:27,のぞみ319号,新大阪,13870
9:21,11:48,2:27,のぞみ127号,博多,13870
9:24,11:54,2:30,のぞみ321号,広島,13870
9:30,12:00,2:30,のぞみ21号,博多,13870
9:39,12:06,2:27,のぞみ333号,広島,13870
9:42,12:12,2:30,のぞみ323号,新大阪,13870
9:48,12:15,2:27,のぞみ65号,広島,13870
